JGA1_FoxPos	JGA3_FoxPos	JGA5_FoxPos	JGA7_FoxPos	JGC1_NcolPos	JGC3_NcolPos	JGC5_NcolPos	JGC7_NcolPos	JGD1_ElavPos	JGD3_ElavPos	JGD5_ElavPos	JGD7_ElavPos
ARCH1000_Homeodomains_npax_1	0.898753075112455	0.898753075112455	0.898753075112455	0.898753075112455	0.972669457046257	0.972669457046257	0.972669457046257	0.972669457046257	0.78616341739304	0.78616341739304	0.78616341739304	0.78616341739304
ARCH1001_zf_C2H2_ZNF32	0.855379316111883	0.855379316111883	0.855379316111883	0.855379316111883	0.913441284157019	0.913441284157019	0.913441284157019	0.913441284157019	0.876811190886997	0.876811190886997	0.876811190886997	0.876811190886997
ARCH1002_zf_C2H2_ZFP90	1.09406896330921	1.09406896330921	1.09406896330921	1.09406896330921	0.897039179211575	0.897039179211575	0.897039179211575	0.897039179211575	1.11996288039068	1.11996288039068	1.11996288039068	1.11996288039068
ARCH1003_Homeodomains_SIX1_Six1	0.946461544078386	0.946461544078386	0.946461544078386	0.946461544078386	0.786532225509223	0.786532225509223	0.786532225509223	0.786532225509223	1.0487948905307	1.0487948905307	1.0487948905307	1.0487948905307
ARCH1004_Homeodomains_SIX2	1.05211732978953	1.05211732978953	1.05211732978953	1.05211732978953	0.836568720836297	0.836568720836297	0.836568720836297	0.836568720836297	1.04559734513274	1.04559734513274	1.04559734513274	1.04559734513274
ARCH1005_zf_C2H2_ZBTB12	0.867951704093009	0.867951704093009	0.867951704093009	0.867951704093009	0.792112557428736	0.792112557428736	0.792112557428736	0.792112557428736	0.835475305739308	0.835475305739308	0.835475305739308	0.835475305739308
ARCH1006_Homeodomains_SIX1_SIX2_Six2	0.80270440572898	0.80270440572898	0.80270440572898	0.80270440572898	0.774803780846066	0.774803780846066	0.774803780846066	0.774803780846066	0.872694706422738	0.872694706422738	0.872694706422738	0.872694706422738
ARCH1007_SMAD_MH1_Med	1.10261253452738	1.10261253452738	1.10261253452738	1.10261253452738	1.43843923445543	1.43843923445543	1.43843923445543	1.43843923445543	1.4157024015337	1.4157024015337	1.4157024015337	1.4157024015337
ARCH1008_ZEB1	0.759001610305958	0.759001610305958	0.759001610305958	0.759001610305958	1.37073096229159	1.37073096229159	1.37073096229159	1.37073096229159	1.10028813786794	1.10028813786794	1.10028813786794	1.10028813786794
ARCH1009_ZEB1	1.0464532839963	1.0464532839963	1.0464532839963	1.0464532839963	1.39991713595131	1.39991713595131	1.39991713595131	1.39991713595131	1.24581811334965	1.24581811334965	1.24581811334965	1.24581811334965
ARCH100_Pit1	0.946075359345205	0.946075359345205	0.946075359345205	0.946075359345205	1.23391741275352	1.23391741275352	1.23391741275352	1.23391741275352	1.63866973920743	1.63866973920743	1.63866973920743	1.63866973920743
ARCH1010_ZEB1	1.12011666216581	1.12011666216581	1.12011666216581	1.12011666216581	1.07142105085831	1.07142105085831	1.07142105085831	1.07142105085831	1.05661634415031	1.05661634415031	1.05661634415031	1.05661634415031
ARCH1011_zf_C4_Nuclear_receptors_daf_12	0.809468471820706	0.809468471820706	0.809468471820706	0.809468471820706	0.920452660325103	0.920452660325103	0.920452660325103	0.920452660325103	1.20331794754282	1.20331794754282	1.20331794754282	1.20331794754282
ARCH1012_Pipsqueak_BtbVII	1.11904940607026	1.11904940607026	1.11904940607026	1.11904940607026	0.963162818646006	0.963162818646006	0.963162818646006	0.963162818646006	1.070431352511	1.070431352511	1.070431352511	1.070431352511
ARCH1013_Hoxb4	2.65067660187691	2.65067660187691	2.65067660187691	2.65067660187691	1.20869601281912	1.20869601281912	1.20869601281912	1.20869601281912	1.29035250679372	1.29035250679372	1.29035250679372	1.29035250679372
ARCH1014_tll	1.13597801985925	1.13597801985925	1.13597801985925	1.13597801985925	1.3475135261845	1.3475135261845	1.3475135261845	1.3475135261845	1.11684430971822	1.11684430971822	1.11684430971822	1.11684430971822
ARCH1015_Homeodomains_egl_5	1.62848819404638	1.62848819404638	1.62848819404638	1.62848819404638	1.37159337125492	1.37159337125492	1.37159337125492	1.37159337125492	1.22139030720554	1.22139030720554	1.22139030720554	1.22139030720554
ARCH1016_ems	1.17853079733823	1.17853079733823	1.17853079733823	1.17853079733823	1.0220405457659	1.0220405457659	1.0220405457659	1.0220405457659	1.20841542320694	1.20841542320694	1.20841542320694	1.20841542320694
ARCH1017_TRA2	1.12599139990444	1.12599139990444	1.12599139990444	1.12599139990444	0.873393668854941	0.873393668854941	0.873393668854941	0.873393668854941	0.887980760197659	0.887980760197659	0.887980760197659	0.887980760197659
ARCH1018_IRF_IRF2	1.31947161228239	1.31947161228239	1.31947161228239	1.31947161228239	0.979577020950729	0.979577020950729	0.979577020950729	0.979577020950729	0.874976857851668	0.874976857851668	0.874976857851668	0.874976857851668
ARCH1019_IRF_IRF5_IRF4_IRF8	0.936824844720497	0.936824844720497	0.936824844720497	0.936824844720497	0.982207252851399	0.982207252851399	0.982207252851399	0.982207252851399	0.682143018231351	0.682143018231351	0.682143018231351	0.682143018231351
ARCH101_HuR	1.01358718052564	1.01358718052564	1.01358718052564	1.01358718052564	1.44306023327543	1.44306023327543	1.44306023327543	1.44306023327543	1.53556325082297	1.53556325082297	1.53556325082297	1.53556325082297
ARCH1020_IRF_IRF7	0.950239997628189	0.950239997628189	0.950239997628189	0.950239997628189	0.933809507878626	0.933809507878626	0.933809507878626	0.933809507878626	0.794753326466693	0.794753326466693	0.794753326466693	0.794753326466693
