JGA1_FoxPos	JGA3_FoxPos	JGA5_FoxPos	JGA7_FoxPos	JGC1_NcolPos	JGC3_NcolPos	JGC5_NcolPos	JGC7_NcolPos	JGD1_ElavPos	JGD3_ElavPos	JGD5_ElavPos	JGD7_ElavPos
ARCH1000_Homeodomains_npax_1	0.983634689859989	0.952451509736718	0.952384139627941	0.946721648208379	1.04918168454422	1.04565397356205	1.01277905508206	1.08656454262928	0.930952099600753	0.890392104837441	0.87880303415776	0.9106030397431
ARCH1001_zf_C2H2_ZNF32	0.949784844130965	1.1905954989595	0.996726458196659	0.959834011545299	0.954181844867587	0.975794398203739	0.954115042619496	1.04783185990335	1.09024495624104	0.886288632007254	0.858832733926431	0.867528885771549
ARCH1002_zf_C2H2_ZFP90	1.14273067250914	1.10104607542427	1.03042624871832	1.02618134765807	0.929038587505524	0.903673956262425	0.94609053562765	1.00828151100662	1.17203568115009	1.09780298863064	1.11140802168344	1.08884887325823
ARCH1003_Homeodomains_SIX1_Six1	0.980380512680668	1.10139289800158	0.99436093542551	0.95577537007218	0.97850143207856	0.990327623301288	0.949080450191334	0.994965331672719	1.17299839558063	1.07526160308641	1.028284359565	1.08613470639176
ARCH1004_Homeodomains_SIX2	1.00353623441297	1.20434711762581	1.03747152399611	0.975132616217843	0.984130581360503	1.01690804080626	0.991508042734599	0.998400384297704	1.15073938668114	1.11117526040243	1.1053437914064	1.13874606425261
ARCH1005_zf_C2H2_ZBTB12	0.973332563149664	1.01322567808287	1.04317617980483	0.991122825941971	1.01093887220071	1.07361906692771	1.01013357807783	1.12525660141777	1.02411734721271	1.02329358605221	0.99934272097988	1.00220084550295
ARCH1006_Homeodomains_SIX1_SIX2_Six2	0.928764002072229	1.14344195031733	1.04278927691114	0.906713751462336	1.06501994680851	1.0492261843956	1.04407001252135	1.09022383049175	1.19178654983862	1.06891859269146	1.04907979881778	1.1003822268941
ARCH1007_SMAD_MH1_Med	1.02575355246657	0.837386851562032	0.876160903559301	0.986019775748687	1.09828903745264	1.17241726768043	1.11990217347076	1.07306545674721	1.01631663873504	1.10545821078217	1.0841266659986	1.08110202548271
ARCH1008_ZEB1	0.90969812282343	0.906550052077765	0.986578323240949	0.84014744712806	1.2843679971567	1.17976641949026	1.12322472952379	1.12946544212881	0.880616647527068	0.839586031651113	0.850187333435488	0.867558072677305
ARCH1009_ZEB1	1.01331901290807	1.02172071044484	0.963749089489911	1.0215993225096	1.18801297611678	1.14560629678852	1.11578740737106	1.11179959845017	1.0329063512521	1.03658280249566	1.00436176601865	1.05599532655972
ARCH100_Pit1	1.03627380851594	1.15400961785781	1.20950490077152	1.13420555274517	0.945440597925385	1.08559719075532	1.01142662351011	0.92103962738711	0.986707241297513	1.10824089573247	1.11150360200866	1.10371558353786
ARCH1010_ZEB1	1.06690390087345	0.995907065763677	0.979765217937182	0.929629364269222	0.997762365608756	1.02096208001449	1.00733918986184	0.990448594982252	1.05954809859849	0.946008442998327	0.939661590275504	1.00846376483976
ARCH1011_zf_C4_Nuclear_receptors_daf_12	1.00046575128881	1.02872937477646	1.06270086766214	1.017003194921	0.987063097164138	0.948469124554645	0.979102435984634	1.00075525310737	0.981175995484486	0.999837366202625	1.03136579205982	1.05698983173389
ARCH1012_Pipsqueak_BtbVII	1.05229880303279	0.958964918015864	0.958616794835949	0.922341329183488	0.89960698025604	0.949884556298572	0.902101413205791	0.926883865941336	0.920237368599964	0.932360401391889	0.859010032178686	0.8924384064384
ARCH1013_Hoxb4	1.26997801835078	1.31328184798876	1.24825181280949	1.36985159980684	1.00686214172675	0.993776344863371	0.981712702196839	1.04238048981514	1.17313241607196	1.18312402802629	1.23687739497668	1.22064312856881
ARCH1014_tll	1.13741834878256	1.04200565662922	1.11359912657293	1.15155705624641	1.10244651222777	1.12826194774814	1.07896605137023	1.01945602885322	1.0587553287932	1.09162485975257	1.10581717204512	1.13222396184387
ARCH1015_Homeodomains_egl_5	1.10525658818774	1.06207302918279	1.12179723562714	1.14248292820449	0.924652760027401	1.04789236280431	1.04482321698952	0.960620420705633	1.07835229405102	1.23740577856756	1.22655929498084	1.23553351642151
ARCH1016_ems	1.11282926515414	1.12456894636214	1.12111173095562	1.15723768340288	1.11103852928986	1.00550842671245	1.04573497155127	1.02139025033101	1.09034478181045	1.11435898625765	0.996079922370823	1.03939288669948
ARCH1017_TRA2	0.925288303453363	0.91889228776624	0.967031933103745	0.936818645492006	0.885967091419219	0.956174467391236	0.988015833511105	0.912131328973881	0.89592466697572	0.775923811279981	0.877334098799176	0.847629843592611
ARCH1018_IRF_IRF2	1.16228376524812	1.1388955400457	1.19246962047897	1.12657452710133	1.07497340425532	0.980548997680583	1.10953649752584	1.02257736722382	1.0073178229409	0.968413906121971	1.00791702890721	1.04549311607502
ARCH1019_IRF_IRF5_IRF4_IRF8	0.957928256886739	1.04718637921204	1.08981316924532	1.09481797333516	1.10716764061359	1.01663320079523	1.04076924319696	1.03976893891686	0.885562707973145	0.850182325180524	0.83397196237848	0.8517948204433
ARCH101_HuR	1.14716866193453	1.03217594088049	1.09380314953518	1.22078337681732	1.06255862988552	1.01728426272337	1.07508587449771	0.956226927365789	0.95290405888834	0.983870189420283	0.981673442570784	1.01528789417304
ARCH1020_IRF_IRF7	1.00835550418303	1.09994300888043	1.17666822629407	1.0971159590513	1.03582871446451	1.02056710483368	1.02536019215799	1.01557570795869	0.962687353355447	0.935325779655065	0.94800182229018	0.935604790102157
