motif	fc	f_fg	f_bg	n_fg	n_bg	pval	padj	label
ARCH1007_SMAD_MH1_Med	1.48686794459481	0.0645395213923133	0.0434063573883162	89	2021	0.000232159275996688	0.00239043774160991	G7
ARCH1007_SMAD_MH1_Med	0.436654265601634	0.0192307692307692	0.0440411802785725	1	2109	0.903856513475198	1	G8
ARCH1007_SMAD_MH1_Med	0	0	0.0440262070692317	0	2110	1	1	G9
ARCH1008_ZEB1	0.979869559211242	0.0447284345047923	0.0456473354890186	14	2174	0.569059147746261	1	G1
ARCH1008_ZEB1	1.09580467675378	0.05	0.045628569635348	7	2181	0.457566721454857	1	G2
ARCH1008_ZEB1	0.630085641935147	0.0288659793814433	0.0458127871201585	14	2174	0.97687984190876	1	G3
ARCH1008_ZEB1	0.706101399376413	0.032258064516129	0.0456847480328143	5	2183	0.840421075344318	1	G4
ARCH1008_ZEB1	1.54808863967218	0.0705882352941176	0.0455970242821917	6	2182	0.192144021456609	0.840288557763242	G5
ARCH1008_ZEB1	1.08606148638303	0.0495495495495496	0.0456231531739213	11	2177	0.433911269311193	1	G6
ARCH1008_ZEB1	1.54938111553111	0.069615663524293	0.0449312714776632	96	2092	3.18127633920469e-05	0.00039634617143486	G7
ARCH1008_ZEB1	0.421080862438887	0.0192307692307692	0.0456700148265709	1	2187	0.912010802801555	1	G8
ARCH1008_ZEB1	0	0	0.0456537161457247	0	2188	1	1	G9
ARCH1009_ZEB1	1.08914343366403	0.0543130990415336	0.0498677193129803	17	2375	0.395018471838104	1	G1
ARCH1009_ZEB1	1.28946406090762	0.0642857142857143	0.0498545994686081	9	2383	0.265370002889875	1	G2
ARCH1009_ZEB1	0.866600286103128	0.0432989690721649	0.0499641758334387	21	2371	0.777396826266819	1	G3
ARCH1009_ZEB1	0.775231863288538	0.0387096774193548	0.0499330319772309	6	2386	0.790646505877136	1	G4
ARCH1009_ZEB1	1.88922226608764	0.0941176470588235	0.0498181970159234	8	2384	0.0616789875392181	0.558400433855054	G5
ARCH1009_ZEB1	1.17454339585487	0.0585585585585586	0.0498564452920343	13	2379	0.316852026617429	0.896427191971809	G6
ARCH1009_ZEB1	1.42704526819188	0.0703408266860043	0.0492912371134021	97	2295	0.000470324489846741	0.00434490243001275	G7
ARCH1009_ZEB1	0.385154264388894	0.0192307692307692	0.0499300436444129	1	2391	0.930265032241195	1	G8
ARCH1009_ZEB1	0	0	0.0499102783457831	0	2392	1	1	G9
ARCH101_HuR	1.21797394038035	0.0447284345047923	0.0367236383488011	14	1749	0.264706834348019	0.88052283339636	G1
ARCH101_HuR	0.581968344155844	0.0214285714285714	0.0368208539927614	3	1760	0.892157086482413	1	G2
ARCH101_HuR	0.952655259149042	0.0350515463917526	0.036793526362372	17	1746	0.614297237867974	1	G3
ARCH101_HuR	1.22892203688735	0.0451612903225806	0.0367487024945588	7	1756	0.344664101809588	0.967262199841981	G4
ARCH101_HuR	1.92255515752118	0.0705882352941176	0.0367158440255778	6	1757	0.0931068909557506	0.660256699310231	G5
ARCH101_HuR	2.84117997307653	0.103603603603604	0.0364649915124589	23	1740	8.80963477281109e-06	0.000460134000826056	G6
ARCH101_HuR	1.1895571394932	0.0435097897026831	0.0365764604810997	60	1703	0.103112282497127	0.38957712489623	G7
ARCH101_HuR	1.04588738915826	0.0384615384615385	0.0367740722951949	2	1761	0.574716399012791	1	G8
ARCH101_HuR	0	0	0.0367858782289363	0	1763	1	1	G9
ARCH1010_ZEB1	1.24345597581504	0.060702875399361	0.0488178725906018	19	2325	0.196868599880916	0.789095001702389	G1
ARCH1010_ZEB1	0.583626373626374	0.0285714285714286	0.0489549990585577	4	2340	0.915505968813765	1	G2
ARCH1010_ZEB1	1.09746582105085	0.0536082474226804	0.0488473047582922	26	2318	0.34292308048316	0.923071443599864	G3
ARCH1010_ZEB1	1.58636640292149	0.0774193548387097	0.0488029465930018	12	2332	0.0784118340435241	0.536189966228287	G4
ARCH1010_ZEB1	0.962373051784817	0.0470588235294118	0.0488987336481799	4	2340	0.602052965008313	1	G5
ARCH1010_ZEB1	1.19872961764854	0.0585585585585586	0.0488505144916906	13	2331	0.292060744362477	0.867874159396595	G6
ARCH1010_ZEB1	0.947750085874585	0.0464104423495286	0.0489690721649485	64	2280	0.685780421149802	1	G7
ARCH1010_ZEB1	1.18014162258075	0.0576923076923077	0.0488859189341575	3	2341	0.470579732955527	1	G8
ARCH1010_ZEB1	0	0	0.0489087342987105	0	2344	1	1	G9
ARCH1011_zf_C4_Nuclear_receptors_daf_12	1.06795060158857	0.073482428115016	0.068806954184689	23	3277	0.403651614320162	1	G1
ARCH1011_zf_C4_Nuclear_receptors_daf_12	1.14187768752986	0.0785714285714286	0.0688089708989728	11	3289	0.369904920804399	1	G2
ARCH1011_zf_C4_Nuclear_receptors_daf_12	0.68672440533679	0.0474226804123711	0.069056349306697	23	3277	0.9797893208856	1	G3
ARCH1011_zf_C4_Nuclear_receptors_daf_12	0.843073484870762	0.0580645161290323	0.0688724259166248	9	3291	0.747014620445143	1	G4
ARCH1011_zf_C4_Nuclear_receptors_daf_12	0.512273189530589	0.0352941176470588	0.0688970618966022	3	3297	0.937756575548956	1	G5
ARCH1011_zf_C4_Nuclear_receptors_daf_12	1.4425600096741	0.0990990990990991	0.0686966909068047	22	3278	0.0549045484886466	0.406323579550856	G6
ARCH1011_zf_C4_Nuclear_receptors_daf_12	0.828104361357741	0.0572878897751994	0.0691795532646048	79	3221	0.964652428820093	1	G7
ARCH1011_zf_C4_Nuclear_receptors_daf_12	0.837947084762372	0.0576923076923077	0.0688495833942406	3	3297	0.703814461870136	1	G8
ARCH1011_zf_C4_Nuclear_receptors_daf_12	3.3545180933716	0.230769230769231	0.0687935567332972	3	3297	0.0553879446710698	1	G9
ARCH1012_Pipsqueak_BtbVII	1.20614431543676	0.0415335463258786	0.0344349724940159	13	1640	0.286099223322617	0.916358038593739	G1
ARCH1012_Pipsqueak_BtbVII	0.620766233766234	0.0214285714285714	0.0345195506182138	3	1650	0.865006143752782	1	G2
ARCH1012_Pipsqueak_BtbVII	1.07717393360446	0.0371134020618557	0.0344544190163105	18	1635	0.408732737351115	0.992950013099846	G3
ARCH1012_Pipsqueak_BtbVII	0.560516129032258	0.0193548387096774	0.0345303867403315	3	1650	0.905844501036425	1	G4
ARCH1012_Pipsqueak_BtbVII	2.73793670659753	0.0941176470588235	0.034375391816776	8	1645	0.00905864809779046	0.210284514817084	G5
ARCH1012_Pipsqueak_BtbVII	0.783028930569914	0.027027027027027	0.034516000586793	6	1647	0.780525034969726	1	G6
ARCH1012_Pipsqueak_BtbVII	0.880242747355585	0.0304568527918782	0.0346005154639175	42	1611	0.816597608071577	1	G7
ARCH1012_Pipsqueak_BtbVII	0.557447848761408	0.0192307692307692	0.0344978804268382	1	1652	0.838888674688154	1	G8
ARCH1012_Pipsqueak_BtbVII	2.23160737567517	0.0769230769230769	0.034469807620081	1	1652	0.36632932847093	1	G9
ARCH1013_Hoxb4	1.06654026454868	0.0575079872204473	0.0539201276613614	18	2568	0.424448321846253	1	G1
ARCH1013_Hoxb4	1.72502082060963	0.0928571428571429	0.0538295780246449	13	2573	0.0397960208103707	0.490475019746468	G2
ARCH1013_Hoxb4	3.44684159698893	0.181443298969072	0.0526404518059595	88	2498	1.13937626397694e-23	2.81322357541944e-21	G3
ARCH1013_Hoxb4	1.67806150604525	0.0903225806451613	0.0538255483006864	14	2572	0.0412343580562054	0.401557471003992	G4
ARCH1013_Hoxb4	1.0906397429177	0.0588235294117647	0.053934885276048	5	2581	0.487123798454982	1	G5
ARCH1013_Hoxb4	1.2540340807552	0.0675675675675676	0.0538801684934091	15	2571	0.220183796461081	0.797158120860402	G6
ARCH1013_Hoxb4	1.07784826206806	0.0580130529369108	0.0538230240549828	80	2506	0.264751884862116	0.716561166758452	G7
ARCH1013_Hoxb4	0.356249070078857	0.0192307692307692	0.0539812475202038	1	2585	0.944152837252106	1	G8
ARCH1013_Hoxb4	2.85341748035247	0.153846153846154	0.0539164545340734	2	2584	0.153178472740167	1	G9
ARCH1014_tll	0.999407188236096	0.0383386581469649	0.0383613992357116	12	1827	0.541838795659666	1	G1
ARCH1014_tll	1.30455786026201	0.05	0.0383271616561016	7	1832	0.291657019091074	1	G2
ARCH1014_tll	0.642648925905236	0.0247422680412371	0.0385004425338222	12	1827	0.961823198986321	1	G3
ARCH1014_tll	2.53522920203735	0.0967741935483871	0.0381717729784028	15	1824	0.000965065437096911	0.0436852954525868	G4
ARCH1014_tll	0.919915417147251	0.0352941176470588	0.0383666987085719	3	1836	0.637877599101744	1	G5
ARCH1014_tll	1.17518557376403	0.0450450450450451	0.0383301548714295	10	1829	0.34771058040602	0.93503162018094	G6
ARCH1014_tll	1.29640010334906	0.0493110949963742	0.038036941580756	68	1771	0.0218581042958707	0.11849623007502	G7
ARCH1014_tll	1.00261714333571	0.0384615384615385	0.0383611418547831	2	1837	0.598004445370448	1	G8
ARCH1014_tll	0	0	0.0383716563034678	0	1839	1	1	G9
ARCH1015_Homeodomains_egl_5	1.38498733016004	0.0702875399361022	0.0507495905597783	22	2417	0.0798838159562078	0.475799219598817	G1
ARCH1015_Homeodomains_egl_5	1.40560489325413	0.0714285714285714	0.0508169626979644	10	2429	0.176664512535724	0.896968402423282	G2
ARCH1015_Homeodomains_egl_5	1.67288376052208	0.0845360824742268	0.0505331478905888	41	2398	0.00113742428798115	0.021603107455642	G3
ARCH1015_Homeodomains_egl_5	2.54885383189534	0.129032258064516	0.0506236397120375	20	2419	0.000125287821038868	0.0100082859394578	G4
ARCH1015_Homeodomains_egl_5	0.693335265140539	0.0352941176470588	0.0509048355414385	3	2436	0.813414729028217	1	G5
ARCH1015_Homeodomains_egl_5	1.15178843311572	0.0585585585585586	0.0508414192007042	13	2426	0.341628905133121	0.928792899240797	G6
ARCH1015_Homeodomains_egl_5	1.27870643235153	0.0645395213923133	0.0504725085910653	89	2350	0.0133815523462249	0.0776587525050145	G7
ARCH1015_Homeodomains_egl_5	1.13411803713528	0.0576923076923077	0.0508697558836427	3	2436	0.497227774444715	1	G8
ARCH1015_Homeodomains_egl_5	1.51214740960434	0.0769230769230769	0.0508700913908943	1	2438	0.49282988446364	1	G9
ARCH1016_ems	1.65540973065036	0.0383386581469649	0.0231596186956704	12	1103	0.0640967743612103	0.40769751560901	G1
ARCH1016_ems	0.921100976361768	0.0214285714285714	0.0232640850226992	3	1112	0.635098828929618	1	G2
ARCH1016_ems	0.352271103399	0.00824742268041237	0.0234121464997682	4	1111	0.996427592619722	1	G3
ARCH1016_ems	3.35394963881496	0.0774193548387097	0.0230830403482337	12	1103	0.000292802722024325	0.0169202594259163	G4
ARCH1016_ems	1.5188531527719	0.0352941176470588	0.0232373469302462	3	1112	0.316998505441961	0.978188923041373	G5
ARCH1016_ems	0.773866575846774	0.018018018018018	0.0232831066496217	4	1111	0.761164400580725	1	G6
ARCH1016_ems	0.837883376700934	0.0195794053662074	0.0233676975945017	27	1088	0.844282365403637	1	G7
ARCH1016_ems	1.6548137397194	0.0384615384615385	0.023242216050285	2	1113	0.34170418176519	1	G8
ARCH1016_ems	0	0	0.0232650335934566	0	1115	1	1	G9
ARCH1017_TRA2	0.963036357018643	0.0319488817891374	0.0331751564271616	10	1580	0.592113045358992	1	G1
ARCH1017_TRA2	0.64540912773427	0.0214285714285714	0.0332015314127911	3	1587	0.846910992570195	1	G2
ARCH1017_TRA2	1.37280138859668	0.045360824742268	0.0330425253930122	22	1568	0.0882403404239932	0.523276778584204	G3
ARCH1017_TRA2	0.972504324819375	0.032258064516129	0.0331700987778336	5	1585	0.587467701955318	1	G4
ARCH1017_TRA2	1.0642499722006	0.0352941176470588	0.0331633719229323	3	1587	0.538558363586227	1	G5
ARCH1017_TRA2	0.950467523746109	0.0315315315315315	0.033174759519668	7	1583	0.606552509700434	1	G6
ARCH1017_TRA2	0.782168265852095	0.0261058738216099	0.0333762886597938	36	1554	0.945107322362501	1	G7
ARCH1017_TRA2	1.74083902864621	0.0576923076923077	0.0331405183035062	3	1587	0.247993141846572	1	G8
ARCH1017_TRA2	0	0	0.0331761465592789	0	1590	1	1	G9
ARCH1018_IRF_IRF2	0.842990273733771	0.012779552715655	0.015159786671146	4	722	0.699529702848238	1	G1
ARCH1018_IRF_IRF2	1.89153146022952	0.0285714285714286	0.0151049185129396	4	722	0.16365162196319	0.874956309551228	G2
ARCH1018_IRF_IRF2	1.09017603308158	0.0164948453608247	0.0151304421123614	8	718	0.453181127221661	1	G3
ARCH1018_IRF_IRF2	1.27918618658814	0.0193548387096774	0.0151305876443998	3	723	0.417318439836828	1	G4
ARCH1018_IRF_IRF2	0.776535496957404	0.0117647058823529	0.0151502486730472	1	725	0.726992010857949	1	G5
ARCH1018_IRF_IRF2	0.296470953712333	0.00450450450450451	0.0151937464635245	1	725	0.966480682936618	1	G6
ARCH1018_IRF_IRF2	1.00572416027649	0.0152284263959391	0.0151417525773196	21	705	0.520636862732276	1	G7
ARCH1018_IRF_IRF2	2.54393327666808	0.0384615384615385	0.0151189258044981	2	724	0.186085435248086	1	G8
ARCH1018_IRF_IRF2	0	0	0.0151483537119726	0	726	1	1	G9
ARCH1019_IRF_IRF5_IRF4_IRF8	1.02058365152342	0.0351437699680511	0.0344349724940159	11	1640	0.515516857606278	1	G1
ARCH1019_IRF_IRF5_IRF4_IRF8	0.621519590846047	0.0214285714285714	0.0344777087386765	3	1648	0.864461588140893	1	G2
ARCH1019_IRF_IRF5_IRF4_IRF8	1.32139507508876	0.045360824742268	0.0343279807813883	22	1629	0.117439138210597	0.609875142217938	G3
ARCH1019_IRF_IRF5_IRF4_IRF8	0.936463763571513	0.032258064516129	0.0344466767118701	5	1646	0.620878803006737	1	G4
ARCH1019_IRF_IRF5_IRF4_IRF8	0	0	0.0345007731851047	0	1651	1	1	G5
ARCH1019_IRF_IRF5_IRF4_IRF8	0.52201928704661	0.018018018018018	0.034516000586793	4	1647	0.949493796610633	1	G6
ARCH1019_IRF_IRF5_IRF4_IRF8	1.14166200857936	0.0391588107324148	0.0342998281786942	54	1597	0.182779855724077	0.575237645592808	G7
ARCH1019_IRF_IRF5_IRF4_IRF8	1.67640263256161	0.0576923076923077	0.0344143504500178	3	1648	0.265876727844659	1	G8
ARCH1019_IRF_IRF5_IRF4_IRF8	2.23431235431235	0.0769230769230769	0.0344280766181196	1	1650	0.365973241388355	1	G9
ARCH102_islike_FOXL1_FOXC1	1.50108264790147	0.0958466453674121	0.0638516776550624	30	3041	0.0185104058317779	0.187590530742944	G1
ARCH102_islike_FOXL1_FOXC1	1.45143184153976	0.0928571428571429	0.0639762338124229	13	3058	0.114356317138116	0.76689322801759	G2
ARCH102_islike_FOXL1_FOXC1	1.38945239619224	0.088659793814433	0.063809162557424	43	3028	0.0201449074125516	0.207248365653371	G3
ARCH102_islike_FOXL1_FOXC1	0.906125028971155	0.0580645161290323	0.0640800267872091	9	3062	0.666854213892625	1	G4
ARCH102_islike_FOXL1_FOXC1	1.28620027645523	0.0823529411764706	0.0640280854265056	7	3064	0.302299496746963	0.965030306759567	G5
ARCH102_islike_FOXL1_FOXC1	1.33810202732221	0.0855855855855856	0.0639604333885198	19	3052	0.12209643642111	0.629215510726201	G6
ARCH102_islike_FOXL1_FOXC1	0.937877689146725	0.060188542422045	0.0641752577319588	83	2988	0.739827700476033	1	G7
ARCH102_islike_FOXL1_FOXC1	1.50180014049877	0.0961538461538462	0.0640257272328607	5	3066	0.238825519308115	1	G8
ARCH102_islike_FOXL1_FOXC1	1.20085191681283	0.0769230769230769	0.0640570880106831	1	3070	0.5771637081735	1	G9
