sample	motif	gene	gene_expression_fc	motif_enrichment_fc	motif_enrichment_minuslog10_fdr	cor_qv	cor_fc	reporterline	condition	id
JGC5_NcolPos	ARCH470_RUNX1_RUNX2_RUNX3_RUNX3_RUNX2	Nvec_vc1.1_XM_001625588.3	2.53933644885813	0.724736939611017	1.33128248483507	0.855297504287741	0.790618441532691	Ncol	positive	ARCH470_RUNX1_RUNX2_RUNX3_RUNX3_RUNX2 | Nvec_vc1.1_XM_001625588.3
JGC7_NcolPos	ARCH470_RUNX1_RUNX2_RUNX3_RUNX3_RUNX2	Nvec_vc1.1_XM_001625588.3	1.96017001341637	0.724736939611017	1.33128248483507	0.855297504287741	0.790618441532691	Ncol	positive	ARCH470_RUNX1_RUNX2_RUNX3_RUNX3_RUNX2 | Nvec_vc1.1_XM_001625588.3
JGD1_ElavPos	ARCH470_RUNX1_RUNX2_RUNX3_RUNX3_RUNX2	Nvec_vc1.1_XM_001625588.3	1.69640496087618	1.07591535739123	1.22359341761509	0.855297504287741	0.790618441532691	Elav	positive	ARCH470_RUNX1_RUNX2_RUNX3_RUNX3_RUNX2 | Nvec_vc1.1_XM_001625588.3
JGD3_ElavPos	ARCH470_RUNX1_RUNX2_RUNX3_RUNX3_RUNX2	Nvec_vc1.1_XM_001625588.3	0.815244232847918	1.07591535739123	1.22359341761509	0.855297504287741	0.790618441532691	Elav	positive	ARCH470_RUNX1_RUNX2_RUNX3_RUNX3_RUNX2 | Nvec_vc1.1_XM_001625588.3
JGD5_ElavPos	ARCH470_RUNX1_RUNX2_RUNX3_RUNX3_RUNX2	Nvec_vc1.1_XM_001625588.3	1.52069053398013	1.07591535739123	1.22359341761509	0.855297504287741	0.790618441532691	Elav	positive	ARCH470_RUNX1_RUNX2_RUNX3_RUNX3_RUNX2 | Nvec_vc1.1_XM_001625588.3
JGD7_ElavPos	ARCH470_RUNX1_RUNX2_RUNX3_RUNX3_RUNX2	Nvec_vc1.1_XM_001625588.3	1.14290930692076	1.07591535739123	1.22359341761509	0.855297504287741	0.790618441532691	Elav	positive	ARCH470_RUNX1_RUNX2_RUNX3_RUNX3_RUNX2 | Nvec_vc1.1_XM_001625588.3
JGA1_FoxPos	ARCH917_islike_TALE_IRX1_TALE_IRX2_TALE_IRX3_TALE_IRX4_TALE_IRX6_IRX2_IRX5	Nvec_vc1.1_XM_001633995.3	0.399356041535339	-0.0377191089728729	0	0.546926800259998	0.381982712996915	Fox	positive	ARCH917_islike_TALE_IRX1_TALE_IRX2_TALE_IRX3_TALE_IRX4_TALE_IRX6_IRX2_IRX5 | Nvec_vc1.1_XM_001633995.3
JGA3_FoxPos	ARCH917_islike_TALE_IRX1_TALE_IRX2_TALE_IRX3_TALE_IRX4_TALE_IRX6_IRX2_IRX5	Nvec_vc1.1_XM_001633995.3	-0.514824931018338	-0.0377191089728729	0	0.546926800259998	0.381982712996915	Fox	positive	ARCH917_islike_TALE_IRX1_TALE_IRX2_TALE_IRX3_TALE_IRX4_TALE_IRX6_IRX2_IRX5 | Nvec_vc1.1_XM_001633995.3
JGA5_FoxPos	ARCH917_islike_TALE_IRX1_TALE_IRX2_TALE_IRX3_TALE_IRX4_TALE_IRX6_IRX2_IRX5	Nvec_vc1.1_XM_001633995.3	-1.82284677663531	-0.0377191089728729	0	0.546926800259998	0.381982712996915	Fox	positive	ARCH917_islike_TALE_IRX1_TALE_IRX2_TALE_IRX3_TALE_IRX4_TALE_IRX6_IRX2_IRX5 | Nvec_vc1.1_XM_001633995.3
JGA7_FoxPos	ARCH917_islike_TALE_IRX1_TALE_IRX2_TALE_IRX3_TALE_IRX4_TALE_IRX6_IRX2_IRX5	Nvec_vc1.1_XM_001633995.3	-0.91653240806293	-0.0377191089728729	0	0.546926800259998	0.381982712996915	Fox	positive	ARCH917_islike_TALE_IRX1_TALE_IRX2_TALE_IRX3_TALE_IRX4_TALE_IRX6_IRX2_IRX5 | Nvec_vc1.1_XM_001633995.3
JGC1_NcolPos	ARCH917_islike_TALE_IRX1_TALE_IRX2_TALE_IRX3_TALE_IRX4_TALE_IRX6_IRX2_IRX5	Nvec_vc1.1_XM_001633995.3	-0.262319788823646	0.0917290356639788	0.147369392438415	0.546926800259998	0.381982712996915	Ncol	positive	ARCH917_islike_TALE_IRX1_TALE_IRX2_TALE_IRX3_TALE_IRX4_TALE_IRX6_IRX2_IRX5 | Nvec_vc1.1_XM_001633995.3
JGC3_NcolPos	ARCH917_islike_TALE_IRX1_TALE_IRX2_TALE_IRX3_TALE_IRX4_TALE_IRX6_IRX2_IRX5	Nvec_vc1.1_XM_001633995.3	-0.0672568825291069	0.0917290356639788	0.147369392438415	0.546926800259998	0.381982712996915	Ncol	positive	ARCH917_islike_TALE_IRX1_TALE_IRX2_TALE_IRX3_TALE_IRX4_TALE_IRX6_IRX2_IRX5 | Nvec_vc1.1_XM_001633995.3
JGC5_NcolPos	ARCH917_islike_TALE_IRX1_TALE_IRX2_TALE_IRX3_TALE_IRX4_TALE_IRX6_IRX2_IRX5	Nvec_vc1.1_XM_001633995.3	0.851774294822038	0.0917290356639788	0.147369392438415	0.546926800259998	0.381982712996915	Ncol	positive	ARCH917_islike_TALE_IRX1_TALE_IRX2_TALE_IRX3_TALE_IRX4_TALE_IRX6_IRX2_IRX5 | Nvec_vc1.1_XM_001633995.3
JGC7_NcolPos	ARCH917_islike_TALE_IRX1_TALE_IRX2_TALE_IRX3_TALE_IRX4_TALE_IRX6_IRX2_IRX5	Nvec_vc1.1_XM_001633995.3	0.29430387907975	0.0917290356639788	0.147369392438415	0.546926800259998	0.381982712996915	Ncol	positive	ARCH917_islike_TALE_IRX1_TALE_IRX2_TALE_IRX3_TALE_IRX4_TALE_IRX6_IRX2_IRX5 | Nvec_vc1.1_XM_001633995.3
