sample	target_gene	regulation	fold_change
Ncol_pos	Nvec_vc1.1_XM_032381891.2	up	1.98754237156794
Ncol_pos	Nvec_vc1.1_XM_048721878.1	up	1.98602466569219
Ncol_pos	Nvec_vc1.1_XM_048721878.1	up	1.98602466569219
Ncol_pos	Nvec_vc1.1_XM_001629671.3	down	-1.97571405054525
Ncol_pos	Nvec_vc1.1_XM_001627444.3	up	1.97438733864252
Ncol_pos	Nvec_vc1.1_XM_032364277.2	up	1.95857934611536
Ncol_pos	Nvec_vc1.1_XM_048732803.1	down	-1.94727509571317
Elav_pos	Nvec_vc1.1_XM_032369689.2	up	1.94647836063778
Ncol_pos	Nvec_vc1.1_XM_032369689.2	up	1.94647836063778
Ncol_pos	Nvec_vc1.1_XM_001637752.3	up	1.93940996964153
Ncol_pos	Nvec_NVE16823	down	-1.93413881718411
Elav_pos	Nvec_vc1.1_XM_032384581.2	down	-1.93099492980083
Elav_pos	Nvec_v1g139887	down	-1.92719368240014
Ncol_pos	Nvec_v1g139887	down	-1.92719368240014
Ncol_pos	Nvec_vc1.1_XM_001629416.3	up	1.92708637158944
Ncol_pos	Nvec_vc1.1_XM_048722013.1	up	1.92344632630119
Ncol_pos	Nvec_vc1.1_XM_032385896.2	up	1.87841986384199
Ncol_pos	Nvec_vc1.1_XM_001631417.3	up	1.87406133717504
Ncol_pos	Nvec_vc1.1_XM_001637728.3	up	1.86578586889838
Ncol_pos	Nvec_vc1.1_XM_001640510.3	up	1.85548565181874
Ncol_pos	Nvec_vc1.1_XM_032385597.2	up	1.85473044671702
Ncol_pos	Nvec_vc1.1_XM_032380582.2	up	1.85434603457461
Ncol_pos	Nvec_NVE5658	up	1.83273488541901
Ncol_pos	Nvec_vc1.1_XM_032375661.2	up	1.82207176844893
Elav_pos	Nvec_vc1.1_XM_048730636.1	down	-1.81280244001142
Ncol_pos	Nvec_vc1.1_XM_032386961.2	up	1.80993423885259
Ncol_pos	Nvec_vc1.1_XM_048720966.1	up	1.80403933792553
Ncol_pos	Nvec_vc1.1_XM_048722564.1	up	1.79352333391827
Ncol_pos	Nvec_vc1.1_XM_048724602.1	up	1.78520610856481
Ncol_pos	Nvec_vc1.1_XM_032366022.2	up	1.78232189971759
Ncol_pos	Nvec_vc1.1_XM_032363701.2	up	1.77676248258618
Ncol_pos	Nvec_vc1.1_XM_001635622.3	down	-1.77090582479901
Ncol_pos	Nvec_vc1.1_XM_032380856.2	up	1.76883900164463
Ncol_pos	Nvec_vc1.1_XM_001639407.3	up	1.76330305265142
Ncol_pos	Nvec_vc1.1_XM_001639293.3	up	1.76234672178278
Elav_pos	Nvec_vc1.1_XM_048730636.1	down	-1.76206904616586
Ncol_pos	Nvec_vc1.1_XM_048730636.1	down	-1.76206904616586
Ncol_pos	Nvec_vc1.1_XM_032385600.2	up	1.75320146443103
Ncol_pos	Nvec_vc1.1_XM_001640019.3	up	1.75191097682842
Ncol_pos	Nvec_vc1.1_XM_001640020.3	up	1.75191097682842
Elav_pos	Nvec_vc1.1_XM_001637099.3	down	-1.74576648556108
Ncol_pos	Nvec_vc1.1_XM_001637099.3	down	-1.74576648556108
Ncol_pos	Nvec_vc1.1_XM_048722875.1	up	1.74575756658453
Elav_pos	Nvec_vc1.1_XM_032374461.2	down	-1.74496546350848
Ncol_pos	Nvec_v1g111441	up	1.74251718958026
Ncol_pos	Nvec_vc1.1_XM_048733827.1	down	-1.73594447078539
Ncol_pos	Nvec_vc1.1_XM_048721133.1	up	1.73051362987758
Ncol_pos	Nvec_vc1.1_XM_001639370.3	up	1.72914429475855
Ncol_pos	Nvec_vc1.1_XM_048724602.1	up	1.72421008933203
Ncol_pos	Nvec_vc1.1_XM_032386151.2	up	1.72053448374012
Ncol_pos	Nvec_vc1.1_XM_048721806.1	up	1.70826179187696
Ncol_pos	Nvec_vc1.1_XM_048721806.1	up	1.70826179187696
Ncol_pos	Nvec_vc1.1_XM_048732881.1	up	1.70448595711813
Ncol_pos	Nvec_vc1.1_XM_001640019.3	up	1.7033664575132
Ncol_pos	Nvec_vc1.1_XM_001640019.3	up	1.7033664575132
Ncol_pos	Nvec_vc1.1_XM_001640020.3	up	1.7033664575132
Ncol_pos	Nvec_vc1.1_XM_048733047.1	up	1.70112868813797
Ncol_pos	Nvec_NVE17415	up	1.69832718232541
Ncol_pos	Nvec_vc1.1_XM_048727065.1	down	-1.69828856727058
Ncol_pos	Nvec_vc1.1_XM_048730097.1	up	1.68808547575638
Ncol_pos	Nvec_vc1.1_XM_048726490.1	up	1.6780230612113
Ncol_pos	Nvec_vc1.1_XM_001632750.3	up	1.66859718904308
Ncol_pos	Nvec_vc1.1_XM_001632750.3	up	1.66859718904308
Ncol_pos	Nvec_vc1.1_XM_001640743.3	down	-1.66582517539866
Elav_pos	Nvec_vc1.1_XM_048726672.1	down	-1.65593721460237
Elav_pos	Nvec_vc1.1_XM_048723418.1	down	-1.63984810560804
Ncol_pos	Nvec_vc1.1_XM_048723418.1	down	-1.63984810560804
Ncol_pos	Nvec_vc1.1_XM_001635162.3	down	-1.63270730802709
Ncol_pos	Nvec_vc1.1_XM_001637272.3	up	1.63190228595325
Ncol_pos	Nvec_vc1.1_XM_032365078.2	down	-1.63152297900888
Ncol_pos	Nvec_vc1.1_XM_048728975.1	up	1.62094034495531
Ncol_pos	Nvec_vc1.1_XM_048727104.1	down	-1.61091582704089
Ncol_pos	Nvec_vc1.1_XM_048727104.1	down	-1.61091582704089
Elav_pos	Nvec_vc1.1_XM_032361875.2	down	-1.60634488330232
Elav_pos	Nvec_vc1.1_XM_001638857.3	down	-1.59546602947077
Elav_pos	Nvec_vc1.1_XM_001638857.3	down	-1.59546602947077
Elav_pos	Nvec_vc1.1_XM_001638857.3	down	-1.59546602947077
Ncol_pos	Nvec_vc1.1_XM_032380853.2	up	1.58757056658002
Ncol_pos	Nvec_NVE12267	up	1.58753879928631
Ncol_pos	Nvec_vc1.1_XM_032369713.2	up	1.58584813861195
Ncol_pos	Nvec_vc1.1_XM_001633735.3	up	1.57740334224469
Ncol_pos	Nvec_vc1.1_XM_032373354.2	up	1.57406818303589
Ncol_pos	Nvec_vc1.1_XM_048722658.1	up	1.56564247652303
Ncol_pos	Nvec_vc1.1_XM_032370216.2	up	1.54382393620828
Ncol_pos	Nvec_vc1.1_XM_048730215.1	down	-1.53943297150867
Ncol_pos	Nvec_vc1.1_XM_048733047.1	up	1.53658685133534
Ncol_pos	Nvec_vc1.1_XM_048733047.1	up	1.53658685133534
Ncol_pos	Nvec_vc1.1_XM_048722874.1	up	1.53651772646274
Ncol_pos	Nvec_vc1.1_XM_001636197.3	down	-1.53396277991718
Ncol_pos	Nvec_vc1.1_XM_001627160.3	up	1.518428738224
Ncol_pos	Nvec_vc1.1_XM_032366462.2	up	1.51500264391856
Ncol_pos	Nvec_vc1.1_XM_032380374.2	down	-1.51101191280298
Ncol_pos	Nvec_vc1.1_XM_001639804.3	down	-1.51031489739974
Ncol_pos	Nvec_vc1.1_XM_032380582.2	up	1.50915059534468
Ncol_pos	Nvec_vc1.1_XM_032362353.2	up	1.50271608365278
Ncol_pos	Nvec_vc1.1_XM_032366282.2	up	1.49472170975187
